,review_id,stmt_score
0,--5_7hjl4OED3UqSI1kvfA,-0.8014
1,--8CdmmBe1GLguB3LiHWYg,-0.1961
2,--9ajhYFr5d8MhHSHqBsmw,-0.9554
3,--aRZxW-Z6fEsqH9UYns9g,-0.9613
4,--DfCHuXVNnUAM2MqOEy_g,-0.3052
5,--DgPOj3ekr2HDg3ULP2Cw,-0.2918
6,--f6_mfZKJqqcnuvRPQJtw,-0.6604
7,--gJNfRfzHXhSRryizT6Ug,-0.6599
8,--gR9TgTKDE36o-esiLFGw,-0.8932
9,--Gt1sflyhgA8QIISpRi6A,-0.7096
10,--impD2lHkqkyP36bhX7Gw,-0.9789
11,--iUo1u6kr93GO3IYz8aIQ,-0.7717
12,--K4ytfFDIZSxWQxp22asw,-0.2227
13,--L6UzdGFbLWl1WiJ3Q_fQ,-0.0602
14,--LsjFrG_Ow8T5V-VOjuGg,-0.3369
15,--pPTJTGAR2bw6oiB8M8tg,-0.7717
16,--QVZXG9r4ZgPgKfM3gl_A,-0.6745
17,--tqwiNe_1Le-y9AKhUcQA,-0.8624
18,--U7ba3h-H2cI99t9kLiXg,-0.9224
19,--w1aeb7RYYSSrKPC7Rogw,-0.2023
20,--W65EuBkqG9sItwZC_i5Q,-0.6924
21,-0-s-Yy-GAvusGQKXjEU7g,-0.93
22,-04xoZhomCx_bMGchiM9NA,-0.8074
23,-07n4DadL2OMGIWN1tgc3A,-0.7773
24,-08gGq8A92prNciuNeS1gg,-0.9745
25,-0BW2TjVdQw2IDdkk6z0VA,-0.8534
26,-0cnQ4AA-4NgOKNx6PvCkw,-0.0992
27,-0eENCRAenFLXOpj2zopWQ,-0.9206
28,-0eY7wnfLGxKE00Cha7x6g,-0.7096
29,-0IxNHBs8F9a9sdwgF9uPg,-0.8496
30,-0k1WS2QJkv7u8zw-Mg70w,-0.6808
31,-0Ly4fOXN8kkLCNaYGqrxQ,-0.8687
32,-0mLsE1PeE-sdDQo-1GdeA,-0.2182
33,-0NLBNbzZ1vW7KXQ9_DydQ,-0.4098
34,-0NuwV5P3I8ocQhDdG_wyg,-0.2242
35,-0o5EkdTYk3ZmwvMwFc16Q,-0.8316
36,-0OU95zw-K2WhQ2co5h7ZQ,-0.9379
37,-0p0evO3IhGMKjjUNTZIxg,-0.0294
38,-0pxj58OsTF29kcNl0wA_g,-0.5849
39,-0SmuGsxwSvjoRpHm3kE1g,-0.9242
40,-0snOAqYXYv0wspq_5k8Dw,-0.9213
41,-0sVtYr8T9gNO3nYWDPHhg,-0.7581
42,-0tvPrwCukVJwlN8N5OzRA,-0.1054
43,-0vyetsBxZIavdfNhu1vfA,-0.708
44,-0xei_KS6sYvDcKKycNp1w,-0.5917
45,-0Y2Zs8xu9hG8aQME9gdBQ,-0.2732
46,-0yUwVH0T-WgnP-WRQXDkA,-0.9601
47,-0ZeqDkVZ4ZE8529TFL3Fw,-0.9174
48,-1-Co1EdpArX10DjYgH1fg,-0.4182
49,-1c-UGlEch2X8mzkfA3FmA,-0.6147
50,-1CJcJ623b7N65GRLzEPwA,-0.6133
51,-1CXdWw4ZQDNj3s8mQbTJw,-0.0911
52,-1GvkqJKBwvOx39C-cde_A,-0.4767
53,-1hlTWkEIf3GRdterXLEBg,-0.9402
54,-1iQc_Z5FIkFz-w_lS_43Q,-0.6877
55,-1lkV-pIovfUMBJX-DmWQQ,-0.8463
56,-1mz4jjV07m1WDClXyGx3g,-0.5267
57,-1sn-YoIMEhH7yjk6tR8DQ,-0.3674
58,-1Uk_phMF6UL4h63XcQAFA,-0.4429
59,-1utohjkSWGZwOhjn2y09g,-0.4995
60,-1Zd4PjxefcvF52JpVnoMQ,-0.6249
61,-1zjHQKw0OgyTlJXtzlanQ,-0.8248
62,-1_iNBElbOV3UYi2HkoqJQ,-0.7101
63,-203NoU6kqTP6H41O4PpFQ,-0.4524
64,-20N4jGKhdhf8EzIQ5TDxw,-0.0789
65,-253zJSIhSzkskRZ2sB_GQ,-0.7907
66,-25ShqO4TrMACGvg3JOCXw,-0.9757
67,-26jAeakSNH0XJajAHuT_g,-0.2104
68,-29MiBSFz7trFuoT5_iArw,-0.5574
69,-2BT07m123l6LfShS98wLA,-0.3013
70,-2CfVTSaugttXtndlELflw,-0.6608
71,-2e-YRUsca9bpP-zj7qoJA,-0.6826
72,-2E4guot-8poOJOUgdjwTg,-0.7469
73,-2egdPh7mX1B7szNgZmgqA,-0.9206
74,-2HHouYvk6io-X4UmDS0Aw,-0.7914
75,-2iME5vf_dOt4xFyB3akJA,-0.8541
76,-2JB2qYGQl9zvJaRekuB4Q,-0.993
77,-2lslg6HJ5rrYQ_4V-Wn8g,-0.7807
78,-2Mn3FdrOn6lVjQC0AW8_g,-0.6908
79,-2MrJxRCgOpUFQqCGUGAmA,-0.6476
80,-2nSG5m98jN6MgSI9HsCLw,-0.296
81,-2pSoWDdeqjw29sgANdlaA,-0.5599
82,-2TC2VxVI9VN-XtLFAAHPQ,-0.296
83,-2z1KYzaUIKFrDC9Fa5Htw,-0.3818
84,-2zB5E4nDBntljzjoEU95g,-0.9857
85,-30-km1fbGVxnKd6SHKUDA,-0.2755
86,-30MiR7S5O8qUU8R9eHGaA,-0.7003
87,-36FxA2Ay51H7AmJ9gJBVw,-0.9577
88,-36oBqPmFuRpP4NABFj5kw,-0.9502
89,-38uoPhfZEbSMATJZgIEVg,-0.9158
90,-3BNW7FmVt_jnP7cpavpQA,-0.8407
91,-3bQcujacngtRXH61qTItQ,-0.8556
92,-3bzGENq57fOCeONf-lX2A,-0.7099
93,-3EhjaeebXQSBwJB3P3Slw,-0.25
94,-3EYYhzDt3V-E1-iXayjXQ,-0.7258
95,-3H0eL1JKrECQA8vWhPq-g,-0.1406
96,-3kZU38S_NjywaeZoCYuAw,-0.8264
97,-3Mdd4rxe9p52KXwSVTSQw,-0.8675
98,-3ofextIr1uPpUu1Ja7FOA,-0.0286
99,-3qYzdiBZ3U0_zLnuTRPuw,-0.4118
100,-3rexAmge5_f47GvlZAdZw,-0.8477
101,-3RSxbjzOSgbeojczUHTGw,-0.7385
102,-3sN5nL7LOII-FI6By1VyQ,-0.6908
103,-3XkHzOTvnhyQrRcOG9dsg,-0.8324
104,-3xzTMEvdJVWMODb6gNynw,-0.9414
105,-3yD-OZEcwYTcVKqrbo9OA,-0.9465
106,-3ZUO6HpUddjncsZdD9dJg,-0.2654
107,-401BBqTRbOKc3WTTn1OAQ,-0.1195
108,-406BpStmfYMV7Meybb2JQ,-0.828
109,-42FN_svhTlID-aFRmDmxg,-0.7375
110,-4AO76yHkqFceuJNvQhmNQ,-0.5758
111,-4auKbvSz-jQkGE8NOzNqw,-0.6643
112,-4bZoqWLmP6EiggHU8dE7w,-0.2924
113,-4geskizGpaZjO6x6LnFQQ,-0.8228
114,-4IF2ej_CPm2O8-BYLfAJQ,-0.4909
115,-4izDQCgtAIMKrQSj1Ll0w,-0.8124
116,-4jg7c0SdlpBhKPjiu8N7Q,-0.5424
117,-4K89XVn7-qT1Zz0bQsI_Q,-0.7981
118,-4pcA2j_xoArBrCTOPRIXw,-0.8196
119,-4QwnQ93Hdp-UKfAupw9CQ,-0.873
120,-4ReaBOsIlBAwPJlcGJMkQ,-0.4767
121,-4RXKXS52iNvRcdFJYEohw,-0.5267
122,-4TtrY782NzLDfAdmYuiJg,-0.9353
123,-4v9bYM6N0qhy9hNNXKCCg,-0.8169
124,-4xr0KqtwFIogE4SNv7oHg,-0.3353
125,-4Z-rBTa-iwneOajxwNnWQ,-0.8459
126,-4zjOcsItks1Q0Exw9aNwA,-0.1288
127,-52T0PwCtzmYbFKCNovh0g,-0.1986
128,-53i6NgQTgOTaruidKQ6yA,-0.5574
129,-5739nIPhB_qbOuibmMZ6g,-0.839
130,-5B4RtDP7Wo_nvDhy372VA,-0.9708
131,-5dpcR0jpfZvGfGrxUIO5Q,-0.8164
132,-5e9K7CWlUCd6LOZbtmI5Q,-0.0516
133,-5ee6bswdrdMkpEN62z56w,-0.5139
134,-5FCZjHDa1Bo0KPUJryFcA,-0.7328
135,-5fJfGZfk1in6IBArrBByg,-0.296
136,-5gwtrY21ooAHnYiMpORcg,-0.6181
137,-5G_p1myIM1RSniNj2LhBA,-0.0129
138,-5hcHGM-MTmKMNT_5Zwnog,-0.8442
139,-5J__O2GMrpAylFSiTG94w,-0.5951
140,-5KY0XwUL88lgAl1Af_vGw,-0.929
141,-5lpUbT6z2JnbzX2XumK8Q,-0.9912
142,-5ncCRp0o9y78XKTVyksXw,-0.81
143,-5QbBviVig6QORWZhiY5kA,-0.848
144,-5RGcHRZaiO6LaTVd1UxuQ,-0.3612
145,-5V0zS4Fg41sS-JNlwzMLA,-0.9136
146,-5x1Gm-Qmvg4G3hyVKBz2Q,-0.8163
147,-5xCrhlMzjUmlBZkkmqP1g,-0.1538
148,-5zSBwNHmTMG5h5c8agpjw,-0.7389
149,-6-AMmUVi9l1iibiBuqpcg,-0.5803
150,-64lX8He9ce38hfGINJ0kw,-0.902
151,-66x-tV0Mx71zm0nVhA4DA,-0.296
152,-6867QlRkm_41N00ime0aw,-0.4097
153,-6A0LfFINglEyOHYMuW5ug,-0.8414
154,-6ATKGDAvQdRhZzd2SZ9Kg,-0.961
155,-6dge5knzNQQ02Y_HOhluw,-0.923
156,-6f64zW4KB9R4mYFB_qkWg,-0.785
157,-6LGwrr-TQRo8qiaNU7Ljw,-0.9703
158,-6LsYE961rFId62p6t3daQ,-0.4874
159,-6lVi2VcUieGs9O7Jhfk0g,-0.128
160,-6mbRfYC4-8MXg6lh9tnAg,-0.9318
161,-6MsPWlVWZlDUKlfCKbA9Q,-0.4599
162,-6mThR3NjtXpxgSzV9sjQQ,-0.2846
163,-6O42b5AgzIKaTFZurqdsw,-0.8396
164,-6QWUHCbspFGZ4qQdXkFCg,-0.3765
165,-6Srj2ja4mylOBJ1qnF4Jg,-0.967
166,-6UsSreUfeVVdxwRj3vb9A,-0.4404
167,-6ut8t_LRo-CKvZLNeQUPw,-0.937
168,-6wxhKZsk70kCH9e_ZCT5g,-0.9062
169,-6Z60YcIFLe0udx3dj0BgA,-0.2823
170,-6_aJXH9rKpNo8K9wQ5cLw,-0.5023
171,-6_AnMqkvobCcJQXZv0EtA,-0.9312
172,-6_thkhbILba7WsBrTe8xw,-0.8011
173,-6_yFqROjAmU69Vm7YHsyw,-0.3523
174,-7-jR9ZUVv0aLureFsTN3A,-0.3113
175,-72GCbyVMxjnwzJ69dQYuA,-0.6167
176,-75nU7VhuLo3RsOnKp-apA,-0.3157
177,-7aoDyjfPi8aI7cFUDOCHQ,-0.7639
178,-7es8Ug2P9uWbpCEVa3llA,-0.9236
179,-7GEvFP9NlMPyD_r6qaKVw,-0.8096
180,-7Hug2JEnLtQFyw3rW3zIw,-0.9636
181,-7L9syG0JlJ1vUmwsoN0Yw,-0.968
182,-7MB_okj8TWFA-nF7KjUrQ,-0.5816
183,-7pLKL9mH5g-OBEztMvuPw,-0.1061
184,-7V7RPpkkQtLcETP8fqksA,-0.5698
185,-7w91kUrxhUfiVPuf-8Zrg,-0.6406
186,-7Zj7AmOE1k2-b7EiQHulQ,-0.8154
187,-8-Pi3mTvV4QaVMmiIWL0Q,-0.773
188,-843O22J4Wl-ecgKneOcWw,-0.6126
189,-886CGEasa625HBvj3fr2g,-0.2116
190,-89uebKwty1IR5hlSgnoaQ,-0.3115
191,-8aBEPIUFF1eDcdkfvwqAg,-0.8843
192,-8bDoaF54_ynsfmYA9Ffaw,-0.0948
193,-8FBxp9z3TDsDzt55lawVQ,-0.8425
194,-8iQJojCbiTt4DpjG5ef0g,-0.7469
195,-8L7e3b-mScAmx7778-XAQ,-0.8674
196,-8mtvclg-pFkFjXPR0BD0A,-0.8467
197,-8n3ApsMfQqVdyOy6ETgfA,-0.7613
198,-8oHO5D6ItN77hQvhOlI0w,-0.8934
199,-8SdXlfKe4VmBD94wHa4Ag,-0.7326
200,-8t_we0b0lypkWm2yoNZNA,-0.5574
201,-8UTPQqFfhbQF3ls6mJjaw,-0.5647
202,-8V7QQ79UpN23IDLDgqfvg,-0.5747
203,-8YISuJSYqjyAwHOPXXViw,-0.9571
204,-91v4aB3iycRfwJ4q7qgoA,-0.7153
205,-92_yS81LYP_2D51OPeFGA,-0.9561
206,-9Ax064Dsju094INSvP8wQ,-0.355
207,-9BRMXvYVHrWYN2p3IZ3ug,-0.25
208,-9BWUi38n7omY5seqKLbYw,-0.8063
209,-9Ed4-rbUx7xtEVaEflEUg,-0.9484
210,-9EqMOkQHrou5059T3ZFlQ,-0.6932
211,-9eril17XwJ4NTnSDuK2Jw,-0.3464
212,-9hfRkRRixzJCkINPDjSUg,-0.924
213,-9lAydqgr36RwnOEUFTyhQ,-0.9156
214,-9N1NHnh8Xh6RW7cfO4QWQ,-0.9037
215,-9oGOx3rRQKYF0vA3EhhZQ,-0.991
216,-9OWRTjM4o5lC9Vp-ZpJ6A,-0.784
217,-9P-OwDXwx_KtKRaQ_1U8g,-0.7783
218,-9PbfLURO1nIB26eCmI4qw,-0.3818
219,-9QidcPCfmuATf5Zns6r2Q,-0.9211
220,-9QsS4jduTQyUfTE1T9IfQ,-0.5267
221,-9xHtVWXuTd5Mhi1xqKtxA,-0.7258
222,-9XnrKsxe9r2qTV-qmq9IA,-0.6901
223,-a2kVHYbv40h9KBHin7zYw,-0.128
224,-a6C5TF9XgEDsCBv72d-nw,-0.1486
225,-A6WeYwRt5KbdfcYouwyWg,-0.0699
226,-Aad_Y7Fj8v765_69E96Zw,-0.6463
227,-aCKl63FL6tJeV5yEoxDqg,-0.5767
228,-ACRWPdoffBEsoRF8PjgHA,-0.5665
229,-ACUO05z31JzWRI0M7mMwA,-0.6983
230,-ag-Zs2HMGoEUYuMDhrM6A,-0.1664
231,-aH6Jdhu3VIhDIezrg3GtA,-0.8235
232,-aHEx9i-TQUT-NkhliM2ng,-0.2441
233,-aHWI540sDpB-YRDntA6Mg,-0.9633
234,-AIc1DCozv9NroabA5y30Q,-0.3865
235,-aizDGFnoAI0kYHt9hLmyQ,-0.6727
236,-ajOXnpaEucLAxyLQpTLGQ,-0.6688
237,-Am258Z6BUCsyBLb_Nd2rg,-0.8442
238,-amfixVnlhsKmLT_0o935Q,-0.5924
239,-aQErr5H3KRduG0Fxza4pQ,-0.7351
240,-aU-byp5tXeMt623Jm7tEA,-0.434
241,-aUalsbVpEdEASVInjn2Gg,-0.3147
242,-AullTEETQGRdf1-25BIoQ,-0.6604
243,-aUQPj7-Wq938owEXnxVow,-0.9736
244,-AvKB7uu0LA7sDo7SqhKiQ,-0.7761
245,-AwE1pjteoQawjQEGp0cWA,-0.9597
246,-aX00adsDfbVuJxASfhXeQ,-0.9028
247,-AxvCwZJYW3zuDsm92jS2w,-0.3274
248,-aYQGAaeoKZllsTd_Y0UOg,-0.3164
249,-aYwdLLzWECcECdYGeyI0g,-0.7841
250,-A_VD75q29j_sq9KuLuXkg,-0.7784
251,-b-eDGcAkcORdebLzwTTRw,-0.2743
252,-b0CMGJZ-fZk7KwDbReHMw,-0.8765
253,-b26OIoZCAA0aamR-jtO9g,-0.5864
254,-B2JsZGY_LNlBDyyRisJEA,-0.1083
255,-b59gWW9Xgg8HaAIMYcTkQ,-0.7165
256,-b5YUfsUFUJLLVreRqWqpA,-0.9557
257,-b97O8wZN9S8W9DrFjqWnQ,-0.8957
258,-bAl9ZPYjH2izbbyaaOcLQ,-0.0112
259,-BAx4wRiRHVGr4zB24c93g,-0.6152
260,-Bci-U1clhL2Pfz1b4Hlyg,-0.8815
261,-BDmdzcugJXkmZV10CvOEA,-0.2938
262,-BdYEtDTJqsRUpeT4BsLQQ,-0.0258
263,-BDYqYa0gkGShgbUyw74NQ,-0.9649
264,-bFKObU-bzNqmln82LW7kg,-0.3291
265,-bFQRYfzsM78204y6feR2w,-0.3559
